data,projeto,financiado_por,descricao,item_cod,categoria,valor
04/11/2025,MORADA BELA,CAMURIM,3ª CARRADAS DE BRITA,2.2,BRITA,1400
04/11/2025,MORADA BELA,CAMURIM,TREVO FERRAGENS - TELAS POP LAJÃO,2.5,FERRAGEM,712.5
04/11/2025,MORADA BELA,CAMURIM,"MRE ARMAZÉM - BOTA, CARRO DE MÃO, BROXA",2.13,"FERRAMENTAS, FARDAMENTOS E EPI'S",802
04/11/2025,MORADA BELA,CAMURIM,MRE ARMAZÉM - ARGAMASSA POLIMÉRICA,2.12,MATERIAIS DIVERSOS,258
05/11/2025,MORADA BELA,CAMURIM,RR COMERCIO E SERVIÇOS - 100 SACOS DE CIMENTO,2.3,CIMENTO (50kg),3700
06/11/2025,MORADA BELA,CAMURIM,MRE ARMAZÉM - 30 SACOS DE CIMENTO,2.3,CIMENTO (50kg),1170
06/11/2025,MORADA BELA,CAMURIM,TREVO FERRAGENS - SUBIDA DOS PILARES,2.5,FERRAGEM,1527
06/11/2025,MORADA BELA,CAMURIM,FOLHA MÃO DE OBRA - CAL,1.1,FOLHA MÃO DE OBRA CIVIL,5500
07/11/2025,MORADA BELA,CAMURIM,COMPACTAÇÃO DO ATERRO,2.18,ATERRO,500
07/11/2025,MORADA BELA,ARCA,ALUGUEIS - CONTAINER,2.11,"LOCAÇÃO DE EQUIPAMENTOS - RETRO, MUNCK, CONTAINER, OUTROS",450
10/11/2025,MORADA BELA,CAMURIM,VIRTUALCONT ASSESORIA CONTAB,4.2,DESPESAS EMPRESA,100
11/11/2025,MORADA BELA,CAMURIM,MADEIRA PARA ANDAIMES,2.7,MADEIRA,1100
11/11/2025,MORADA BELA,CAMURIM,"BELO LAJES - LAJE FOSSA, CISTERNA E SUMIDOURO",2.23,"VERGAS E LAJES (FOSSA, SUMI, RESERV, CAIXA DÁGUA)",1140
11/11/2025,MORADA BELA,CAMURIM,6ª CARRADA DE AREIA,2.1,AREIA,1200
11/11/2025,MORADA BELA,CAMURIM,7ª CARRADA DE AREIA,2.1,AREIA,1100
11/11/2025,MORADA BELA,CAMURIM,ALUGUEIS - BETONEIRA + FRETE,2.11,"LOCAÇÃO DE EQUIPAMENTOS - RETRO, MUNCK, CONTAINER, OUTROS",460
11/11/2025,MORADA BELA,CAMURIM,FRETE TÁBUAS,2.7,MADEIRA,50
11/11/2025,MORADA BELA,CAMURIM,MRE ARMAZÉM - 30 SACOS DE CIMENTO,2.3,CIMENTO (50kg),1170
11/11/2025,MORADA BELA,CAMURIM,TREVO FERRAGENS - CINTA E MURO,2.5,FERRAGEM,2904
12/11/2025,MORADA BELA,CAMURIM,"2001 - CAIXA D'ÁGUA, PNEUS",2.12,MATERIAIS DIVERSOS,1273.1
13/11/2025,MORADA BELA,CAMURIM,TREVO FERRAGENS - PREGOS E ARAME,2.22,"ARAME, DISCO E PREGO",237.6
14/11/2025,MORADA BELA,CAMURIM,BELO LAJES - 1ª LAJE,2.16,LAJE,5472
14/11/2025,MORADA BELA,CAMURIM,BELO LAJES - VERGAS,2.23,"VERGAS E LAJES (FOSSA, SUMI, RESERV, CAIXA DÁGUA)",533
14/11/2025,MORADA BELA,CAMURIM,FOLHA MÃO DE OBRA - CAL,1.1,FOLHA MÃO DE OBRA CIVIL,5100
14/11/2025,MORADA BELA,CAMURIM,TREVO FERRAGENS - TELAS POP 1ª LAJE,2.5,FERRAGEM,720
18/11/2025,MORADA BELA,CAMURIM,MRE ARMAZÉM - DISCOS,2.22,"ARAME, DISCO E PREGO",96
18/11/2025,MORADA BELA,CAMURIM,COPYMAX - PLOTAGEM DOS PROJETOS,3.5,PLOTAGENS E IMPRESSÕES,120
19/11/2025,MORADA BELA,CAMURIM,TREVO FERRAGENS - COLUNAS E PREGOS,2.5,FERRAGEM,768
19/11/2025,MORADA BELA,CAMURIM,MRE ARMAZÉM - GRAUTE E COLA,2.12,MATERIAIS DIVERSOS,191
20/11/2025,MORADA BELA,CAMURIM,CÍCERO - CONCRETO E BOMBA,2.20,CONCRETO USINADO,5265
21/11/2025,MORADA BELA,CAMURIM,FOLHA MÃO DE OBRA - CAL,1.1,FOLHA MÃO DE OBRA CIVIL,5100
21/11/2025,MORADA BELA,CAMURIM,TREVO FERRAGENS - SUBIDA DOS PILARES E CINTURÃO,2.5,FERRAGEM,3456
21/11/2025,MORADA BELA,CAMURIM,4ª CARRADA DE TIJOLOS 8.000,2.4,TIJOLO,4960
27/11/2025,MORADA BELA,CAMURIM,ALMEIDA DISTRIBUIDORA - MATERIAL HIDRAULICO,2.9,MATERIAL HIDRÁULICO,2546.4
27/11/2025,MORADA BELA,CAMURIM,CERTIDÃO REGISTRO DO LOTE,3.2,TAXAS REGISTRO DO LOTE/AVERBAÇÕES LOTE,68.73
28/11/2025,MORADA BELA,CAMURIM,BELO LAJES - 2ª LAJE,2.16,LAJE,5092
28/11/2025,MORADA BELA,CAMURIM,BELO LAJES - VERGAS,2.23,"VERGAS E LAJES (FOSSA, SUMI, RESERV, CAIXA DÁGUA)",481
28/11/2025,MORADA BELA,CAMURIM,FOLHA MÃO DE OBRA - CAL,1.1,FOLHA MÃO DE OBRA CIVIL,5100
28/11/2025,MORADA BELA,CAMURIM,ARMAZÉM - MATERIAL ELÉTRICA,2.8,MATERIAL ELÉTRICA,917.6
01/12/2025,MORADA BELA,CAMURIM,TREVO FERRAGENS - TELAS POP 2ª LAJE,2.5,FERRAGEM,870
01/12/2025,MORADA BELA,CAMURIM,TREVO FERRAGENS - ARAME E PREGO,2.22,"ARAME, DISCO E PREGO",220.79999999999995
01/12/2025,MORADA BELA,CAMURIM,GRADES DE PORTA,2.19,ESQUADRIAS DE MADEIRA,1400
01/12/2025,MORADA BELA,CAMURIM,ALMEIDA DISTRIBUIDORA - MATERIAL HIDRAULICO,2.9,MATERIAL HIDRÁULICO,1285.76
01/12/2025,MORADA BELA,CAMURIM,PRO LABORE - AYRSON,4.2,DESPESAS EMPRESA,6000
01/12/2025,MORADA BELA,CAMURIM,TAXA DE LICENÇA DE CONSTRUÇÃO,3.7,TAXA APROVAÇÃO PROJETO,238.22
01/12/2025,MORADA BELA,CAMURIM,TAXA DE LICENÇA DE CONSTRUÇÃO,3.7,TAXA APROVAÇÃO PROJETO,238.22
01/12/2025,MORADA BELA,CAMURIM,TAXA DE LICENÇA DE CONSTRUÇÃO,3.7,TAXA APROVAÇÃO PROJETO,248.09
01/12/2025,MORADA BELA,CAMURIM,TAXA DE LICENÇA DE CONSTRUÇÃO,3.7,TAXA APROVAÇÃO PROJETO,248.09
01/12/2025,MORADA BELA,CAMURIM,TAXA DE HABITE-SE,3.9,HABITESE (TAXA/ISS/AVERBAÇÃO),238.22
01/12/2025,MORADA BELA,CAMURIM,TAXA DE HABITE-SE,3.9,HABITESE (TAXA/ISS/AVERBAÇÃO),238.22
01/12/2025,MORADA BELA,CAMURIM,TAXA DE HABITE-SE,3.9,HABITESE (TAXA/ISS/AVERBAÇÃO),248.09
01/12/2025,MORADA BELA,CAMURIM,TAXA DE HABITE-SE,3.9,HABITESE (TAXA/ISS/AVERBAÇÃO),248.09
02/12/2025,MORADA BELA,CAMURIM,8ª CARRADA DE AREIA,2.1,AREIA,1150
02/12/2025,MORADA BELA,CAMURIM,PRO LABORE - ALEXANDRE,4.2,DESPESAS EMPRESA,3000
02/12/2025,MORADA BELA,CAMURIM,PRO LABORE - CAIO,4.2,DESPESAS EMPRESA,3000
04/12/2025,MORADA BELA,CAMURIM,MUNDO DA IMPERMEABILIZAÇÃO - ADITIVO REBOCO,2.12,MATERIAIS DIVERSOS,160
05/12/2025,MORADA BELA,CAMURIM,MADEREIRA CARPINA LTDA,2.7,MADEIRA,990
