data,ativo,de_entidade,para_entidade,valor_custo_aquisicao,valor_integralizacao,diferenca,motivo,observacoes
A CONFIRMAR,Terreno Morada Bela (1 de 2),CAMURIM,JV CAMURIM+ARCA,52500.00,70000.00,17500.00,Valorizacao de mercado do terreno na regiao,"Comprado pela Camurim a valor venal (R$52.500), integralizado na JV a valor de mercado (R$70.000). Falta confirmar data exata e qual lote (dentre os comprados) corresponde a este terreno."
A CONFIRMAR,Terreno Morada Bela II (2 de 2),CAMURIM,JV CAMURIM+ARCA,52500.00,70000.00,17500.00,Valorizacao de mercado do terreno na regiao,"Comprado pela Camurim a valor venal (R$52.500), integralizado na JV a valor de mercado (R$70.000). Falta confirmar data exata e qual lote (dentre os comprados) corresponde a este terreno."
